Yachtski Score,Artist,Title
80.5,Craig Ruhnke,Give Me The Nighttime
80.5,Olav Stedje,Valentino
80.5,Steely Dan,Glamour Profession
80.4375,Sheena Easton,So Much In Love
80.25,Karen Blake,Anything At All
80.25,Maxus,Your Imagination
80.25,Patti Austin,Every Home Should Have One
80.25,Paul Clark,Drawn To The Light
80.0,Bobby Caldwell,Open Your Eyes
80.0,Byrne & Barnes,That's The Way She Goes
80.0,Lava,Give It Up
80.0,Marc Jordan,Marina Del Rey
80.0,Yuki Okazaki,Cafe B.H.
79.75,Dionne Warwick,With A Touch
79.5,Dave Raynor,Leave Me Alone Tonight
79.5,David Roberts,Wrong Side of the Tracks
79.5,Doobie Brothers,Nothin' But a Heartache
79.5,Doobie Brothers,You're Made That Way
79.5,Jaye P. Morgan,Keepin’ It To Myself
79.5,State Cows,Mr. White
79.5,The Imperials,Living Without Your Love
79.25,England Dan & John Ford Coley,Caught Up in the Middle
79.25,Holly Near,Back Off
79.25,Janis Siegel,Lovin' Eyes
79.25,Kasper Winding,Daisie
79.25,Manhattan Transfer,Nothin’ You Can Do About It
79.25,Michael Stosic,Backstreet Dancer
79.25,Seals & Crofts,If And Any Day
79.0,Christopher Cross,The Light Is On
79.0,David Diggs,Holding On To Love
79.0,Johnny Mathis,Right Here Right Now
79.0,Larsen-Feiten Band,Phantom of the Footlights
78.75,Brenda Russell,Jarreau
78.75,Doobie Brothers,Here To Love You
78.75,Doobie Brothers,It Keeps You Runnin'
78.75,John Miles,Song For You
78.75,Maxus,Keep a Light On
78.75,Pages,Come On Home
78.75,Steve Marrs,Somebody Somewhere
78.75,Toto,Waiting For Your Love
78.5,Raydio,You Can't Change That
78.5,Richard Simmons,Live It
78.25,Airplay,After The Love Is Gone
78.25,David Diggs,Playing The Fool
78.25,George Duke,Sunrise
78.25,James Ingram & Michael McDonald,Yah Mo B There
78.0,Herbie Hancock,Paradise
78.0,Howard Johnson,Keepin' Love New
78.0,Larry Carlton,Ain't Nothin' For a Heartache
78.0,Melissa Manchester,Your Place or Mine
78.0,Steve Cropper,Fly
78.0,Toshiki Kadomatsu,City Nights
77.75,Booker T. Jones,I'll Put Some Love (Back in Your Life)
77.75,Chris Christian,What Can There Be
77.75,Johnny Mathis,Love Never Felt So Good
77.75,Lee Ritenour,Is It You?
77.75,Steely Dan,Don't Take Me Alive
77.5,Al Jarreau,Roof Garden
77.5,Bobby Caldwell,Can't Say Goodbye
77.5,George Benson,Breezin'
77.5,Heat,Don't You Walk Away
77.5,Nielsen/Pearson,I Hear You Breathing
77.5,Toto,Mama
77.25,Bill Champlin,Gotta Get Back to Love
77.25,Byrne & Barnes,Never Gonna Stop Lovin’ You
77.25,Farrell and Farrell,You’re the Heart of Me
77.25,Ronnie Laws,In The Groove
77.0,Christopher Cross,No Time For Talk
77.0,Michael McDonald,Sweet Freedom
77.0,Michael Sembello,First Time
77.0,Paul Anka,Walk A Fine Line
76.75,Billy Ocean,Everlasting Love
76.75,Kevin Moore,Holding On To You
76.75,Lauren Wood,In The Dark
76.75,Lee Ritenour,Keep It Alive
76.75,Lee Ritenour,"Promises, Promises"
76.75,Nielsen/Pearson,Don't Forget
76.75,Peter Allen,Pass This Time
76.75,Rick Bowles,Your Loss
76.75,Sanford-Townsend Band,Smoke From a Distant Fire
76.75,Steely Dan,I Got the News
76.5,Al Jarreau,Christmas Morning
76.5,Ben Mendoza,Gotta Keep Loving You
76.5,Bill Champlin,One Way Ticket
76.5,Brenda Russell,It's Something!
76.5,Young Gun Silver Fox,Moonshine
76.25,Greg Guidry,Goin' Down
76.25,Jay Graydon & Marc Jordan,Secret Love
76.25,Robbie Dupree,I'm No Stranger
76.0,B. B. & Q. Band,(I Could Never Say) It's Over
76.0,Doobie Brothers,Open Your Eyes
76.0,Fan Fiction,Mister Minit
76.0,Maureen McDonald,Twice Upon A Time
76.0,Maxus,The Higher You Rise
76.0,Robbie Nevil,Set the World
76.0,Roger Voudouris,Let Her Get Away
76.0,Steve Kipner,I’ve Got To Stop This Hurting You
75.75,Brenda Russell,Lucky
75.75,Bridge,Little Darlin'
75.75,Chaka Khan,Any Old Sunday
75.75,Christopher Cross,Deal 'Em Again
75.75,Marc Jordan,Lost In The Hurrah
75.75,Michael Jackson w/ Paul McCartney,The Girl Is Mine
75.75,Robert Byrne,I Did It All For Love
75.5,Brooklyn Dreams,I Won't Let Go
75.5,Con Funk Shun,Don't Let Your Love Grow Cold
75.5,Greg Guidry,Heart To Heart
75.5,Jeffrey Osborne,I Really Don't Need No Light
75.5,JoAnn & Monte,Give It Up
75.5,Johnny Mathis,Touch by Touch
75.25,213,Three Little Words
75.25,Barry Manilow,Let's Get On With It
75.25,Boz Scaggs,Simone
75.25,Brenda Russell,New York Bars
75.25,Chris Christian w/ Christopher Cross,Don't Give Up On Us
75.25,Dara Sedaka,Huggin'
75.25,Donald Fagen,Green Flower Street
75.25,Donn Thomas,You’re The One
75.25,Farrell & Farrell,All You Need
75.25,Homi & Jarvis,Love’s Taking Over
75.25,Lauren Wood,Breakin’ Too Many Hearts
75.25,State Cows,Emily
75.25,Steely Dan,Second Arrangement
75.0,Andreas Aleman,If It’s A Dream
75.0,Ayers Rock,City Nite Life
75.0,Diana Ross,Let's Go Up
75.0,Dolly Parton,Same Old Fool
75.0,Doobie Brothers,One Step Closer
75.0,Finis Henderson,Lovers
75.0,Jeffrey Osborne,New Love
75.0,Ray Parker Jr.,Pryor's Place Theme
75.0,Robert Kraft,What Price Glory
75.0,Steely Dan,Don't Take Me Alive
75.0,Tim Weisberg,Don't Keep Me Waiting Girl
74.75,Al Jarreau,Love Is Waiting
74.75,Bill LaBounty,Sleep On It
74.75,Gary Taylor,Just Gets Better With Time
74.75,Leslie Smith,Nothin' You Can Do About It
74.5,Bobby Martin,Don’t Give Up
74.5,Diane Tell,Mon Ami-e
74.5,Ned Doheny,Back To The World
74.5,Steve Archer,Treasure
74.25,Attitudes,Change
74.25,Bobby King,Heart To Heart
74.25,Chaka Khan,So Not To Worry
